# gap records: <n> <prime> <value> <gap_below> <gap_above> <prev_prime> <next_prime>
# merged from 241 candidates across 8 workers
1 2 1 0 1 0 3
2 3 2 1 2 2 5
3 7 4 2 4 5 11
4 23 6 4 6 19 29
5 89 8 6 8 83 97
6 113 14 4 14 109 127
7 523 18 2 18 521 541
8 887 20 4 20 883 907
9 1129 22 6 22 1123 1151
10 1327 34 6 34 1321 1361
11 9551 36 4 36 9547 9587
12 15683 44 4 44 15679 15727
13 19609 52 6 52 19603 19661
14 31397 72 4 72 31393 31469
15 155921 86 28 86 155893 156007
16 360653 96 4 96 360649 360749
17 370261 112 14 112 370247 370373
18 492113 114 10 114 492103 492227
19 1349533 118 2 118 1349531 1349651
20 1357201 132 8 132 1357193 1357333
21 2010733 148 6 148 2010727 2010881
22 4652353 154 36 154 4652317 4652507
23 17051707 180 20 180 17051687 17051887
24 20831323 210 24 210 20831299 20831533
25 47326693 220 14 220 47326679 47326913
26 122164747 222 6 222 122164741 122164969
27 189695659 234 38 234 189695621 189695893
28 191912783 248 16 248 191912767 191913031
29 387096133 250 14 250 387096119 387096383
30 436273009 282 48 282 436272961 436273291
31 1294268491 288 14 288 1294268477 1294268779
32 1453168141 292 80 292 1453168061 1453168433
33 2300942549 320 28 320 2300942521 2300942869
34 3842610773 336 4 336 3842610769 3842611109
35 4302407359 354 6 354 4302407353 4302407713
36 10726904659 382 26 382 10726904633 10726905041
37 20678048297 384 6 384 20678048291 20678048681
38 22367084959 394 12 394 22367084947 22367085353
39 25056082087 456 20 456 25056082067 25056082543
40 42652618343 464 42 464 42652618301 42652618807
41 127976334671 468 48 468 127976334623 127976335139
42 182226896239 474 48 474 182226896191 182226896713
43 241160624143 486 24 486 241160624119 241160624629
44 297501075799 490 30 490 297501075769 297501076289
45 303371455241 500 24 500 303371455217 303371455741
46 304599508537 514 14 514 304599508523 304599509051
47 416608695821 516 72 516 416608695749 416608696337
48 461690510011 532 8 532 461690510003 461690510543
49 614487453523 534 14 534 614487453509 614487454057
50 738832927927 540 14 540 738832927913 738832928467
51 1346294310749 582 6 582 1346294310743 1346294311331
52 1408695493609 588 2 588 1408695493607 1408695494197
53 1968188556461 602 18 602 1968188556443 1968188557063
54 2614941710599 652 6 652 2614941710593 2614941711251
55 7177162611713 674 34 674 7177162611679 7177162612387
56 13829048559701 716 10 716 13829048559691 13829048560417
57 19581334192423 766 20 766 19581334192403 19581334193189
58 42842283925351 778 12 778 42842283925339 42842283926129
59 90874329411493 804 44 804 90874329411449 90874329412297
60 171231342420521 806 4 806 171231342420517 171231342421327
61 218209405436543 906 6 906 218209405436537 218209405437449
