Table from Alex Beveridge, Apr 18 2007.

Updated by Jens Kruse Andersen, Oct 19 2010.

Corrected OEIS list title by John W. Nicholson, Sep 11, 2011.

Updated by Mike Koss, 2026-09-16, to 85 rows, from Andersen and
Luhn's table at https://www.pzktupel.de/RecordGaps/risinggap.php

Maximal prime gaps table with gap number, upper prime, gap, prime count of upper prime.


  # = A000027
  p = upper prime A000101
gap = difference between p and previous prime A005250
  G = index of upper prime A107578

A000027 A000101 A005250 A107578
# p gap G
1 3 1 2
2 5 2 3
3 11 4 5
4 29 6 10
5 97 8 25
6 127 14 31
7 541 18 100
8 907 20 155
9 1151 22 190
10 1361 34 218
11 9587 36 1184
12 15727 44 1832
13 19661 52 2226
14 31469 72 3386
15 156007 86 14358
16 360749 96 30803
17 370373 112 31546
18 492227 114 40934
19 1349651 118 103521
20 1357333 132 104072
21 2010881 148 149690
22 4652507 154 325853
23 17051887 180 1094422
24 20831533 210 1319946
25 47326913 220 2850175
26 122164969 222 6957877
27 189695893 234 10539433
28 191913031 248 10655463
29 387096383 250 20684333
30 436273291 282 23163299
31 1294268779 288 64955635
32 1453168433 292 72507381
33 2300942869 320 112228684
34 3842611109 336 182837805
35 4302407713 354 203615629
36 10726905041 382 486570088
37 20678048681 384 910774005
38 22367085353 394 981765348
39 25056082543 456 1094330260
40 42652618807 464 1820471369
41 127976335139 468 5217031688
42 182226896713 474 7322882473
43 241160624629 486 9583057668
44 297501076289 490 11723859928
45 303371455741 500 11945986787
46 304599509051 514 11992433551
47 416608696337 516 16202238657
48 461690510543 532 17883926782
49 614487454057 534 23541455084
50 738832928467 540 28106444831
51 1346294311331 582 50070452578
52 1408695494197 588 52302956124
53 1968188557063 602 72178455401
54 2614941711251 652 94906079601
55 7177162612387 674 251265078336
56 13829048560417 716 473258870472
57 19581334193189 766 662221289044
58 42842283926129 778 1411461642344
59 90874329412297 804 2921439731021
60 171231342421327 806 5394763455326
61 218209405437449 906 6822667965941
62 1189459969826399 916 35315870460456
63 1686994940956727 924 49573167413484
64 1693182318747503 1132 49749629143527
65 43841547845542243 1184 1175661926421599
66 55350776431904441 1198 1475067052906946
67 80873624627236069 1220 2133658100875639
68 203986478517457213 1224 5253374014230871
69 218034721194215521 1248 5605544222945292
70 305405826521089141 1272 7784313111002703
71 352521223451365651 1328 8952449214971383
72 401429925999155063 1356 10160960128667333
73 418032645936713497 1370 10570355884548335
74 804212830686679111 1442 20004097201301080
75 1425172824437700887 1476 34952141021660496
76 5733241593241198219 1488 135962332505694895
77 6787988999657779307 1510 160332893561542067
78 15570628755536097769 1526 360701908268316581
79 17678654157568190587 1530 408333670434942093
80 18361375334787048247 1550 423731791997205042
81 18470057946260699783 1552 426181820436140030
82 18571673432051831671 1572 428472240920394478
83 20733746510561444539 1676 477141032543986018
84 68068810283234184631 1724 1524717378371224129
85 101412319996363310923 1854 2251483061895611800

Notes:

To get lower prime subtract G from p.
To get prime count of lower prime subtract 1 from the last column.
