# a023186.txt -- lonely prime records with bounding primes
#
# n    index (A000027)
# p    the lonely prime (A023186)
# d    min(p-pp, np-p), the record (A023187)
# pp   previous prime
# np   next prime
#
# Mike Koss. Data as of 2026-09-25, when the scan last advanced.
# Searched all below 5,613,838,913,435,200: every record up to that
# bound is present, and there is no further one below it.
# Independently confirmed by an exhaustive scan; check_oeis.py passes.
# Source: https://github.com/mckoss/prime-scanner
# OEIS data CC BY-SA 4.0
#
#  n                 p    d                pp                np
   2                 5    2                 3                 7
   3                23    4                19                29
   4                53    6                47                59
   5               211   12               199               223
   6              1847   14              1831              1861
   7              2179   18              2161              2203
   8              3967   20              3947              3989
   9             16033   24             16007             16057
  10             24281   30             24251             24317
  11             38501   40             38461             38543
  12             58831   42             58789             58889
  13            203713   44            203669            203761
  14            206699   48            206651            206749
  15            413353   54            413299            413411
  16           1272749   62           1272679           1272811
  17           2198981   72           2198909           2199061
  18           5102953   76           5102863           5103029
  19          10938023   96          10937921          10938119
  20          12623189   98          12623089          12623287
  21          72546283  108          72546143          72546391
  22         142414669  116         142414553         142414859
  23         162821917  124         162821753         162822041
  24         163710121  136         163709971         163710257
  25         325737821  156         325737649         325737977
  26        1131241763  160        1131241603        1131241933
  27        1791752797  162        1791752629        1791752959
  28        3173306951  168        3173306777        3173307119
  29        4841337887  174        4841337713        4841338063
  30        6021542119  176        6021541943        6021542299
  31        6807940367  178        6807940189        6807940567
  32        7174208683  180        7174208477        7174208863
  33        8835528511  186        8835528307        8835528697
  34       11179888193  194       11179887967       11179888387
  35       15318488291  210       15318488071       15318488501
  36       26329105043  214       26329104829       26329105267
  37       31587561361  222       31587561139       31587561641
  38       45241670743  242       45241670501       45241670987
  39      113482615613  244      113482615369      113482615867
  40      138465682247  246      138465682001      138465682513
  41      307608752579  250      307608752329      307608752833
  42      313455525683  258      313455525373      313455525941
  43      343834606051  268      343834605773      343834606319
  44      491856414677  284      491856414391      491856414961
  45     1362810282439  300     1362810282139     1362810282781
  46     1480975873513  324     1480975873189     1480975873847
  47     5551890283531  328     5551890283183     5551890283859
  48     9156364643509  340     9156364643137     9156364643849
  49    16303344721399  348    16303344721051    16303344721777
  50    25328423597831  352    25328423597479    25328423598209
  51    26923643849953  390    26923643849563    26923643850343
  52    92299530249323  396    92299530248927    92299530249733
  53   187891466722913  420   187891466722493   187891466723333
  54   342540487510231  432   342540487509799   342540487510673
  55   475963705368391  452   475963705367939   475963705368871
  56   941114429467073  480   941114429466593   941114429467567
  57  2662972908869401  508  2662972908868891  2662972908869909
  58  4685407635944059  510  4685407635943549  4685407635944569
  59  4911417538051463  520  4911417538050943  4911417538052029
