# a058867.txt -- equidistant prime records with bounding primes
#
# n    index (A000027)
# p    the balanced prime (A058867)
# d    p - pp = np - p, the record (A058868)
# pp   previous prime
# np   next prime
#
# Mike Koss. Data as of 2026-09-15, when the scan last advanced.
# Searched all below 2,174,619,685,091,850: every record up to that
# bound is present, and there is no further one below it.
# Independently confirmed by an exhaustive scan; check_oeis.py passes.
# Source: https://github.com/mckoss/prime-scanner
# OEIS data CC BY-SA 4.0
#
#  n                p    d               pp               np
   1                5    2                3                7
   2               53    6               47               59
   3              211   12              199              223
   4            16787   24            16763            16811
   5            69623   30            69593            69653
   6           247141   42           247099           247183
   7          3565979   48          3565931          3566027
   8          4911311   60          4911251          4911371
   9         12012743   66         12012677         12012809
  10         23346809   72         23346737         23346881
  11         34346287   84         34346203         34346371
  12         36598607   90         36598517         36598697
  13         51042053   96         51041957         51042149
  14        383204683  144        383204539        383204827
  15       4470608101  150       4470607951       4470608251
  16       5007182863  156       5007182707       5007183019
  17       5558570491  168       5558570323       5558570659
  18      48287689717  186      48287689531      48287689903
  19      50284155289  198      50284155091      50284155487
  20     178796541817  204     178796541613     178796542021
  21     264860525507  210     264860525297     264860525717
  22     374787490919  228     374787490691     374787491147
  23    1521870804107  240    1521870803867    1521870804347
  24    2093308790851  258    2093308790593    2093308791109
  25    4228611064537  276    4228611064261    4228611064813
  26    6537587646671  300    6537587646371    6537587646971
  27   17432065861517  306   17432065861211   17432065861823
  28   22546768250359  348   22546768250011   22546768250707
  29   26923643849953  390   26923643849563   26923643850343
  30  187891466722913  420  187891466722493  187891466723333
