# a087770.txt -- pairwise lonely prime records with bounding primes
#
# n    index (A000027)
# p    the pairwise lonely prime (A087770)
# gb   p - pp
# ga   np - p
# pp   previous prime
# np   next prime
#
# Mike Koss. Data as of 2026-09-24, when the scan last advanced.
# Searched all below 2,403,150,456,127,592: every record up to that
# bound is present, and there is no further one below it.
# Independently confirmed by an exhaustive scan; check_oeis.py passes.
# Source: https://github.com/mckoss/prime-scanner
# OEIS data CC BY-SA 4.0
#
#  n                 p   gb   ga                pp                np
   2                 3    1    2                 2                 5
   3                 7    2    4                 5                11
   4                23    4    6                19                29
   5                89    6    8                83                97
   6               211   12   12               199               223
   7              1847   16   14              1831              1861
   8              2179   18   24              2161              2203
   9             14107   20   36             14087             14143
  10             33247   24   40             33223             33287
  11             38501   40   42             38461             38543
  12             58831   42   58             58789             58889
  13            268343   46   60            268297            268403
  14           1272749   70   62           1272679           1272811
  15           2198981   72   80           2198909           2199061
  16          10938023  102   96          10937921          10938119
  17          72546283  140  108          72546143          72546391
  18         162821917  164  124         162821753         162822041
  19         325737821  172  156         325737649         325737977
  20        2888688863  204  158        2888688659        2888689021
  21        6613941601  224  166        6613941377        6613941767
  22       11179888193  226  194       11179887967       11179888387
  23       24016237123  246  196       24016236877       24016237319
  24       96155166493  272  198       96155166221       96155166691
  25      179474021633  274  200      179474021359      179474021833
  26      215686840471  314  232      215686840157      215686840703
  27      633880576177  318  270      633880575859      633880576447
  28     1480975873513  324  334     1480975873189     1480975873847
  29     9156364643509  372  340     9156364643137     9156364643849
  30    26459479056379  426  348    26459479055953    26459479056727
  31    64293760159177  434  372    64293760158743    64293760159549
  32   201355244997631  440  390   201355244997191   201355244998021
  33   203521339456733  456  398   203521339456277   203521339457131
  34   366981966368659  458  412   366981966368201   366981966369071
  35   630279877844621  490  422   630279877844131   630279877845043
  36  1244134359040121  502  462  1244134359039619  1244134359040583
  37  1527008871568883  504  470  1527008871568379  1527008871569353
