# a096265.txt -- aloof prime records with bounding primes
#
# n    index (A000027)
# p    the aloof prime (A096265)
# span np - pp, the record (A031132)
# pp   previous prime (A031133)
# np   next prime (A031134)
#
# Mike Koss. Data as of 2026-09-15, when the scan last advanced.
# Searched all below 2,174,619,685,091,850: every record up to that
# bound is present, and there is no further one below it.
# Independently confirmed by an exhaustive scan; check_oeis.py passes.
# Source: https://github.com/mckoss/prime-scanner
# OEIS data CC BY-SA 4.0
#
#  n                 p  span                pp                np
   2                 3     3                 2                 5
   3                 5     4                 3                 7
   4                 7     6                 5                11
   5                23    10                19                29
   6                53    12                47                59
   7                89    14                83                97
   8               113    18               109               127
   9               211    24               199               223
  10              1129    28              1123              1151
  11              1327    40              1321              1361
  12              2179    42              2161              2203
  13              2503    44              2477              2521
  14              5623    48              5591              5639
  15              9587    50              9551              9601
  16             14107    56             14087             14143
  17             19609    58             19603             19661
  18             19661    72             19609             19681
  19             31397    76             31393             31469
  20             31469    80             31397             31477
  21             38501    82             38461             38543
  22             58831   100             58789             58889
  23            155921   114            155893            156007
  24            360749   116            360653            360769
  25            370261   126            370247            370373
  26            396833   138            396733            396871
  27           1357201   140           1357193           1357333
  28           1561919   160           1561891           1562051
  29           4652353   190           4652317           4652507
  30           8917523   200           8917463           8917663
  31          20831323   234          20831299          20831533
  32          38089277   236          38089217          38089453
  33          70396393   246          70396343          70396589
  34          72546283   248          72546143          72546391
  35         102765683   270         102765577         102765847
  36         142414669   306         142414553         142414859
  37         325737821   328         325737649         325737977
  38         436273009   330         436272961         436273291
  39         476956933   336         476956801         476957137
  40        1346350763   340        1346350651        1346350991
  41        1453168141   372        1453168061        1453168433
  42        2949347131   376        2949346891        2949347267
  43        3367207801   410        3367207667        3367208077
  44        9085929179   436        9085929037        9085929473
  45       10726905041   438       10726904659       10726905097
  46       20678048681   450       20678048297       20678048747
  47       25056082087   476       25056082067       25056082543
  48       31587561361   502       31587561139       31587561641
  49       42652618343   506       42652618301       42652618807
  50       50949283459   524       50949283109       50949283633
  51      122787888851   540      122787888679      122787889219
  52      215686840471   546      215686840157      215686840703
  53      220578150113   594      220578149899      220578150493
  54      724200190631   600      724200190201      724200190801
  55      929156727137   624      929156727013      929156727637
  56     1032148488557   678     1032148488143     1032148488821
  57     3605572653889   690     3605572653481     3605572654171
  58     4079970755417   700     4079970755221     4079970755921
  59     5061226833937   760     5061226833427     5061226834187
  60    12772332382939   780    12772332382321    12772332383101
  61    19535748743177   838    19535748742639    19535748743477
  62    21185697626267   900    21185697626083    21185697626983
  63   117102787055963   944   117102787055687   117102787056631
  64   471911699384963   972   471911699384771   471911699385743
  65   528459528876647  1014   528459528876289   528459528877303
  66   543684371469929  1016   543684371469023   543684371470039
  67   811782668945987  1032   811782668945159   811782668946191
  68  1693182318746371  1152  1693182318746351  1693182318747503
